CVSS,EPSS,CLASS
7.5,0.0059,0
5.0,0.0069,0
5.9,0.0066,0
7.5,0.0096,0
7.4,4.00E-04,0
3.7,8.00E-04,0
7.5,0.0017,0
8.1,0.0067,0
6.2,0.0012,0
7.5,0.0033,0
5.3,7.00E-04,0
8.8,0.0092,0
4.8,0.0012,0
7.5,0.0038,0
5.9,0.0058,0
7.5,0.0042,0
3.7,9.00E-04,0
9.1,5.00E-04,1
6.8,0.0036,0
7.5,0.004,0
7.3,0.0013,0
8.1,0.0048,0
5.9,0.0228,0
7.5,0.004,0
8.1,0.0032,0
6.4,0.0046,0
4.8,0.0041,0
6.1,0.0027,0
3.7,0.0024,0
5.9,0.0033,0
5.9,0.0051,0
7.5,0.0049,0
7.6,0.0079,0
4.4,0.0025,0
7.8,0.0033,0
4.8,0.0038,0
5.5,0.0018,0
8.4,0.0043,0
7.8,0.0033,0
5.5,0.0022,0
7.8,0.0033,0
7.8,0.0025,0
8.8,0.0024,0
8.1,0.0074,0
7.8,0.0033,0
7.8,0.0033,0
7.4,0.0112,0
7.8,0.0033,0
8.4,0.002,0
5.5,0.0022,0
7.4,0.0015,0
9.6,0.0036,1
5.5,0.0022,0
7.8,0.0025,0
7.8,0.0033,0
5.5,0.0027,0
7.8,0.0033,0
7.8,0.0033,0
7.8,0.0033,0
7.8,0.0033,0
7.8,0.0025,0
7.4,0.0037,0
9.3,1.3731,2
9.4,0.0586,1
7.1,0.0057,0
8.8,0.2889,1
7.1,5.00E-04,0
6.1,0.0015,0
6.1,0.0093,0
4.3,0.0026,0
3.7,0.0028,0
4.3,0.0014,0
6.6,0.0035,0
9.1,0.0028,1
7.1,0.0036,0
4.7,0.0055,0
9.8,0.0042,1
6.5,0.0026,0
9.9,0.0046,1
4.2,0.003,0
9.1,0.0028,1
9.0,0.01,1
7.8,0.0356,0
9.6,9.2637,2
9.9,4.459,2
10.0,9.3426,2
8.2,9.4367,2
9.1,9.4412,2
8.2,9.4319,2
8.8,6.1255,2
8.3,9.4249,2
9.4,9.4348,2
10.0,9.4013,2
7.2,9.2615,2
7.5,0.3014,1
8.1,0.6734,1
9.8,6.5812,2
8.1,0.735,1
3.1,0.0731,0
3.7,1.3895,0
9.8,9.3363,2
6.1,9.3918,1
